CustomerID,CustomerName,JoinDate,Segment,AcquisitionChannel,Region,IsActive,ChurnDate,AnnualValue
C0053,Thomas Adams,2022-09-24,Consumer,Online,Scotland,True,,2528.61
C0054,Thomas Thomas,2022-03-16,Consumer,Online,London,True,,1758.46
C0055,Wilson International,2021-10-07,Public Sector,Online,London,True,,107508.35
C0056,Daniel Moore,2022-06-08,Consumer,Direct,London,True,,2414.77
C0057,Grace Scott,2022-03-17,SMB,Online,London,True,,37606.54
C0058,Charlotte Smith,2022-12-20,Consumer,Referral,London,False,2023-02-11,3686.08
C0059,Robinson Corp,2021-07-18,Public Sector,Online,Scotland,True,,86327.63
C0060,Young Ltd,2022-04-17,Enterprise,Direct,Scotland,True,,72759.05
C0061,Scott Partners,2022-03-04,Public Sector,Direct,London,True,,84061.74
C0062,Davis Services,2022-01-26,Public Sector,Events,London,True,,61757.54
C0063,Charlotte King,2022-02-01,SMB,Online,London,True,,21308.73
C0064,Jones Corp,2023-05-06,Enterprise,Direct,London,True,,173994.67
C0065,King Partners,2022-12-15,Enterprise,Referral,Scotland,True,,191401.44
C0066,Emily Baker,2022-06-12,SMB,Direct,London,True,,44420.67
C0067,Lee Corp,2022-11-03,Enterprise,Partner,Scotland,True,,77223.37
C0068,George Martin,2021-10-04,Consumer,Online,London,True,,3621.53
C0069,Jackson Ltd,2022-05-13,Public Sector,Partner,London,True,,108919.25
C0070,Grace Jones,2022-04-20,SMB,Direct,London,True,,47106.91
C0071,Grace Martin,2022-12-07,Consumer,Direct,Scotland,True,,919.44
C0072,Anderson Partners,2022-07-30,Public Sector,Online,London,True,,130166.87
C0073,Olivia Thomas,2023-04-16,SMB,Online,London,True,,47369.94
C0074,Grace Harris,2022-05-12,Consumer,Referral,London,True,,2053.06
C0075,Matthew Martin,2021-08-09,SMB,Online,London,True,,11745.89
C0076,Alexander Thomas,2023-06-05,Consumer,Partner,London,True,,4413.65
C0077,Lily Green,2022-05-24,SMB,Online,London,True,,48768.15
C0078,Benjamin Adams,2023-01-31,Consumer,Online,Scotland,True,,3917.31
C0079,Brown Group,2022-11-20,Enterprise,Direct,Scotland,True,,116551.78
C0080,Robinson Solutions,2022-05-29,Public Sector,Direct,Scotland,True,,50398.04
C0081,Allen Solutions,2021-09-25,Public Sector,Online,London,True,,38863.43
C0082,Hall International,2022-10-26,Public Sector,Referral,Scotland,True,,42798.39
C0083,Sophie Allen,2021-04-01,SMB,Referral,Scotland,True,,41132.46
C0084,Anderson Solutions,2022-02-09,Public Sector,Online,Scotland,True,,105389.77
C0085,Hannah Martin,2023-01-29,Consumer,Referral,London,False,2023-12-01,1290.38
C0086,Green Corp,2021-05-08,Public Sector,Referral,London,True,,119587.12
C0087,Smith Corp,2022-10-17,Enterprise,Events,London,True,,130485.85
C0088,James Walker,2023-06-01,Consumer,Online,London,True,,4479.06
C0089,Jones Ltd,2023-02-08,Public Sector,Direct,London,True,,143551.38
C0090,Grace Martin,2021-06-06,SMB,Direct,Scotland,True,,33493.61
C0091,Davis International,2022-09-18,Public Sector,Online,Scotland,True,,83363.5
C0092,James Johnson,2021-08-05,SMB,Events,London,True,,41471.78
C0093,Adams Ltd,2021-11-29,Enterprise,Online,London,True,,91591.23
C0094,Green Services,2021-12-13,Public Sector,Online,Scotland,False,2022-10-10,100662.35
C0095,Brown International,2022-03-30,Enterprise,Online,London,True,,125575.8
C0096,Allen Group,2022-04-06,Enterprise,Partner,Scotland,True,,123540.33
C0097,Thomas Partners,2021-04-21,Enterprise,Direct,Scotland,True,,199194.16
C0098,Hannah Hall,2022-05-11,SMB,Online,London,True,,18600.92
C0099,Amelia Jones,2022-02-25,SMB,Referral,London,True,,37472.84
C0100,Lewis Holdings,2023-03-24,Enterprise,Direct,London,True,,150501.99
C0101,Jones International,2022-07-11,Public Sector,Events,London,True,,56909.38
C0102,David Walker,2021-10-23,Consumer,Referral,Scotland,True,,3261.08
C0103,Thomas Holdings,2021-08-10,Enterprise,Events,Scotland,True,,50915.87
C0104,Amelia Taylor,2022-10-07,Consumer,Referral,London,True,,3747.18
C0105,Emily Martin,2021-06-19,Consumer,Direct,London,True,,2685.48
C0106,Emily Taylor,2021-11-12,SMB,Partner,London,True,,11816.69
C0107,James Harris,2022-01-01,Consumer,Direct,London,False,2023-02-24,3861.56
C0108,Olivia Smith,2022-08-21,SMB,Direct,London,False,2023-02-27,28390.17
C0109,Jessica Walker,2023-04-06,Consumer,Online,Scotland,True,,2570.44
C0110,Hannah Thomas,2022-11-24,SMB,Referral,London,True,,18862.88
C0111,Young Solutions,2021-11-01,Enterprise,Online,London,True,,85440.33
C0112,Scott International,2022-01-28,Enterprise,Online,Scotland,True,,152170.02
C0113,Alexander Johnson,2021-12-09,Consumer,Events,London,False,2023-04-25,2083.74
C0114,Daniel Jackson,2021-03-15,SMB,Direct,Scotland,True,,28508.47
C0115,William Johnson,2023-01-17,Consumer,Partner,London,True,,2527.35
C0116,Amelia Moore,2022-07-18,Consumer,Events,London,True,,4630.72
C0117,Harry Taylor,2022-08-31,Consumer,Online,London,True,,1633.98
C0118,Jones Group,2021-05-01,Public Sector,Online,London,True,,67149.83
C0119,Samuel Allen,2022-08-13,Consumer,Partner,Scotland,True,,2405.33
C0120,Sophia Clark,2022-06-30,SMB,Direct,London,True,,40834.99
C0121,Green Solutions,2021-08-03,Public Sector,Direct,London,False,2022-09-10,116541.96
C0122,Charlotte Green,2021-11-25,Consumer,Direct,London,True,,4029.67
C0123,Martin Solutions,2021-09-30,Enterprise,Online,London,True,,172533.69
C0124,Adams Solutions,2021-04-22,Enterprise,Referral,Scotland,False,2023-12-10,174657.01
C0125,David King,2023-04-18,SMB,Online,London,True,,35998.43
C0126,Smith Group,2022-04-06,Enterprise,Referral,Scotland,True,,52850.58
C0127,Wilson Partners,2022-06-14,Enterprise,Events,Scotland,True,,145842.76
C0128,Taylor Partners,2022-03-01,Enterprise,Partner,London,True,,50234.65
C0129,James Jackson,2021-11-05,Consumer,Direct,Scotland,False,2023-01-05,4429.99
C0130,Scott Holdings,2022-06-05,Public Sector,Referral,London,True,,46009.15
C0131,William Williams,2022-07-24,SMB,Online,Scotland,True,,38641.8
C0132,Johnson Services,2021-07-14,Enterprise,Direct,Scotland,True,,92916.63
C0133,Jackson Holdings,2022-12-01,Enterprise,Online,London,True,,196058.54
C0134,David Miller,2023-06-14,SMB,Events,London,True,,31818.98
C0135,Johnson Holdings,2022-02-12,Enterprise,Online,London,True,,142227.72
C0136,Isabella Smith,2022-06-27,Consumer,Partner,London,True,,1142.51
C0137,Chloe Jones,2022-11-21,Consumer,Direct,London,True,,3555.78
C0138,Sophia Smith,2022-01-20,SMB,Partner,London,True,,39426.99
C0139,Jack Miller,2022-05-27,SMB,Online,London,True,,45947.16
C0140,Adams Corp,2022-10-05,Enterprise,Online,Scotland,True,,177704.31
C0141,Green International,2022-09-03,Public Sector,Online,Scotland,True,,33154.08
C0142,Hannah Harris,2022-08-30,SMB,Partner,London,True,,31027.83
C0143,Joseph Baker,2022-03-14,Consumer,Direct,Scotland,True,,4011.18
C0144,King Services,2021-12-04,Enterprise,Events,London,True,,101903.46
C0145,Lewis Group,2023-01-22,Public Sector,Partner,London,True,,90308.78
C0146,Baker Ltd,2022-01-21,Public Sector,Direct,Scotland,True,,39746.74
C0147,Grace Taylor,2023-05-12,Consumer,Referral,London,True,,3388.58
C0148,Jack Davis,2022-09-03,SMB,Partner,London,True,,23607.7
C0149,Brown Holdings,2021-08-24,Public Sector,Referral,Scotland,True,,59008.54
C0150,Lucy Robinson,2021-07-05,SMB,Direct,London,True,,38845.14
C0151,Robinson Holdings,2021-06-24,Enterprise,Events,London,True,,57298.72
C0152,Harry Moore,2021-09-17,Consumer,Partner,Scotland,False,2023-05-15,703.59
C0153,Allen Group,2022-07-09,Enterprise,Online,London,True,,69299.51
C0154,Emma Johnson,2021-11-11,SMB,Events,London,True,,11556.56
C0155,Daniel Baker,2021-08-04,Consumer,Online,London,True,,2793.71
C0156,Joseph Wright,2022-01-08,Consumer,Online,London,True,,4424.45
C0157,Hannah Walker,2021-10-06,Consumer,Referral,Scotland,True,,3985.73
C0158,Olivia King,2022-08-23,Consumer,Direct,London,True,,1417.51
C0159,Emily Harris,2022-08-05,Consumer,Online,Scotland,True,,2864.65
C0160,King Corp,2021-09-15,Enterprise,Events,London,True,,141511.49
C0161,Amelia Lewis,2021-08-20,SMB,Online,London,True,,47348.01
C0162,Jessica Jones,2021-08-12,SMB,Direct,Scotland,True,,21618.11
C0163,Lucy Lewis,2022-03-14,Consumer,Referral,London,False,2023-12-04,3632.77
C0164,Lily Brown,2022-05-25,SMB,Direct,Scotland,False,2022-12-02,37247.68
C0165,Oliver Young,2021-12-23,SMB,Events,Scotland,True,,32965.33
C0166,David Jackson,2022-01-21,Consumer,Events,Scotland,False,2022-12-13,4045.82
C0167,Lewis International,2021-09-08,Public Sector,Direct,London,True,,136711.2
C0168,James Wright,2021-10-04,SMB,Referral,Scotland,True,,23484.49
C0169,Harry Allen,2022-07-16,Consumer,Direct,Scotland,True,,929.23
C0170,Alexander Wright,2022-04-30,SMB,Events,London,True,,32915.09
C0171,Joseph King,2021-11-27,SMB,Direct,Scotland,True,,40793.64
C0172,Chloe Moore,2021-10-02,Consumer,Events,London,True,,2371.31
C0173,Oliver Clark,2021-06-27,SMB,Online,Scotland,True,,27869.92
C0174,Thomas International,2022-03-09,Enterprise,Online,London,True,,67436.0
C0175,Emma Lewis,2022-10-18,Consumer,Direct,London,True,,2580.7
C0176,Oliver Lewis,2023-06-27,Consumer,Referral,Scotland,True,,4973.56
C0177,Young Partners,2021-09-21,Enterprise,Events,London,True,,106169.14
C0178,David Smith,2021-11-01,SMB,Events,London,True,,40247.18
C0179,Henry Nelson,2022-01-18,SMB,Online,London,True,,45008.33
C0180,Allen Ltd,2021-09-03,Enterprise,Online,Scotland,False,2022-12-26,86710.12
C0181,Hannah Robinson,2021-06-29,SMB,Direct,Scotland,True,,22756.15
C0182,Emma Lewis,2021-11-18,Consumer,Referral,London,True,,4768.34
C0183,Martin Partners,2021-10-22,Public Sector,Online,London,True,,47906.11
C0184,Grace Martin,2021-07-14,Consumer,Online,Scotland,True,,4855.04
C0185,Anderson Partners,2022-02-20,Enterprise,Direct,London,True,,151050.79
C0186,Thomas Corp,2022-08-22,Public Sector,Direct,Scotland,False,2022-12-27,144842.37
C0187,Nelson Services,2022-01-12,Public Sector,Direct,Scotland,True,,96249.52
C0188,Hannah Harris,2021-10-22,SMB,Online,London,True,,40465.16
C0189,Alexander Robinson,2023-10-08,SMB,Referral,London,True,,38800.48
C0190,Wright International,2021-07-07,Enterprise,Direct,London,True,,119124.35
C0191,Oliver Baker,2021-08-21,SMB,Direct,London,True,,36728.62
C0192,Chloe Nelson,2022-01-21,SMB,Partner,London,True,,29328.17
C0193,Green Solutions,2021-10-23,Enterprise,Online,London,True,,66052.46
C0194,King Services,2022-02-23,Enterprise,Direct,London,True,,94996.2
C0195,Young Ltd,2021-04-24,Enterprise,Events,Scotland,False,2023-10-06,155426.77
C0196,Joseph Robinson,2022-09-07,SMB,Partner,London,False,2022-11-14,29020.01
C0197,David King,2022-12-01,Consumer,Referral,London,True,,4194.06
C0198,Hannah Jones,2022-11-18,SMB,Online,London,True,,41619.92
C0199,Walker Partners,2022-01-30,Enterprise,Online,London,True,,195338.08
C0200,Alexander Allen,2021-11-17,Consumer,Partner,London,True,,2210.33
C0201,Oliver Smith,2021-12-09,SMB,Direct,London,True,,47718.41
C0202,Oliver Moore,2022-01-26,Consumer,Direct,London,True,,2993.99
C0203,Mia Robinson,2021-10-13,Consumer,Partner,London,True,,2844.97
C0204,Green Group,2021-10-23,Enterprise,Referral,London,True,,104168.74
C0205,David Walker,2023-07-18,Consumer,Online,Scotland,True,,2209.5
C0206,Benjamin Davis,2022-09-30,SMB,Referral,Scotland,True,,29160.39
C0207,Thomas Baker,2022-01-08,SMB,Referral,Scotland,True,,41434.66
C0208,King Services,2022-09-27,Public Sector,Direct,Scotland,True,,82614.59
C0209,Emily Jones,2021-11-21,Consumer,Partner,Scotland,True,,3718.56
C0210,Moore Group,2021-12-26,Enterprise,Events,London,True,,66405.41
C0211,George Green,2022-02-10,Consumer,Direct,Scotland,False,2022-12-01,2437.05
C0212,Emily Robinson,2022-09-16,SMB,Online,London,True,,37617.49
C0213,Green Services,2023-01-24,Public Sector,Online,London,True,,92533.78
C0214,Wright Services,2021-08-05,Enterprise,Online,London,True,,127399.09
C0215,Harry Smith,2023-03-21,SMB,Referral,London,True,,39495.53
C0216,Alexander Brown,2021-07-12,SMB,Referral,London,True,,41980.09
C0217,Sophia Moore,2022-08-27,SMB,Direct,London,True,,24079.4
C0218,Moore Solutions,2022-11-20,Enterprise,Online,Scotland,True,,126623.73
C0219,Lewis Solutions,2022-03-28,Enterprise,Referral,London,True,,123446.3
C0220,Olivia King,2021-07-25,SMB,Online,London,True,,43595.67
C0221,Lee International,2021-10-25,Enterprise,Direct,Scotland,True,,132458.93
C0222,Lewis Services,2022-12-28,Enterprise,Partner,Scotland,True,,198466.36
C0223,Matthew Green,2022-01-09,Consumer,Partner,London,True,,1566.26
C0224,Henry Green,2023-01-07,Consumer,Referral,Scotland,True,,767.11
C0225,Joseph Allen,2022-11-24,SMB,Online,London,True,,42607.24
C0226,William King,2021-08-15,Consumer,Referral,London,False,2023-08-07,1949.44
C0227,Matthew Williams,2023-03-15,SMB,Direct,Scotland,True,,26114.03
C0228,Oliver Wright,2021-08-27,Consumer,Partner,London,True,,4874.68
C0229,George Baker,2021-08-16,Consumer,Partner,Scotland,True,,1776.17
C0230,Baker International,2023-09-11,Enterprise,Partner,Scotland,True,,52442.2
C0231,Taylor Solutions,2021-07-03,Enterprise,Online,Scotland,True,,181163.51
C0232,Wright Services,2023-05-08,Enterprise,Referral,London,True,,114384.64
C0233,Thomas Group,2022-06-07,Enterprise,Direct,London,True,,198223.24
C0234,Scott Solutions,2022-06-22,Enterprise,Direct,London,True,,146236.42
C0235,Nelson Partners,2021-12-15,Enterprise,Online,Scotland,True,,142411.4
C0236,Jessica Jones,2021-08-29,SMB,Partner,London,True,,19911.45
C0237,Joseph Taylor,2022-12-25,SMB,Online,Scotland,True,,18217.83
C0238,Wilson International,2023-02-07,Enterprise,Referral,Scotland,True,,145712.35
C0239,Lewis Solutions,2021-07-05,Public Sector,Direct,London,True,,121527.11
C0240,Daniel Taylor,2022-09-01,Consumer,Direct,London,True,,3328.57
C0241,Daniel Nelson,2022-07-31,SMB,Online,London,True,,18127.9
C0242,Hannah Hall,2023-07-16,SMB,Referral,Scotland,True,,19545.5
C0243,Smith Solutions,2021-04-07,Public Sector,Direct,Scotland,True,,114179.95
C0244,Anderson Group,2023-03-12,Public Sector,Online,Scotland,False,2023-11-16,122571.63
C0245,Lily Hall,2022-05-22,SMB,Direct,Scotland,True,,32675.45
C0246,Sophie Smith,2022-08-07,SMB,Direct,London,True,,19782.06
C0247,Thomas Baker,2022-03-05,SMB,Direct,Scotland,True,,13115.48
C0248,Sophie Taylor,2022-11-06,SMB,Events,London,True,,23092.04
C0249,Harris Services,2021-12-01,Enterprise,Direct,London,True,,159869.5
C0250,James Thomas,2021-03-04,Consumer,Direct,Scotland,True,,506.58
C0251,William King,2022-04-05,Consumer,Online,London,False,2022-12-28,1759.21
C0252,Jones Partners,2022-10-06,Public Sector,Online,Scotland,True,,38979.66
C0253,Hannah Thomas,2021-06-29,SMB,Events,London,True,,22722.31
C0254,Martin Group,2022-11-17,Enterprise,Direct,Scotland,True,,130388.68
C0255,Benjamin Walker,2021-05-22,SMB,Referral,London,True,,11613.19
C0256,Isabella Smith,2021-10-05,SMB,Direct,London,True,,48083.86
C0257,Matthew Wilson,2021-12-11,Consumer,Online,London,True,,1088.22
C0258,Jack Green,2023-03-08,SMB,Online,Scotland,True,,15151.66
C0259,Harry Harris,2022-01-16,Consumer,Referral,London,True,,632.67
C0260,Wilson Corp,2022-11-22,Enterprise,Direct,London,True,,124833.74
C0261,Jessica Lewis,2021-09-10,SMB,Direct,London,True,,41793.85
C0262,Isabella Smith,2022-03-04,Consumer,Referral,London,False,2023-01-15,1934.95
C0263,Baker Ltd,2022-06-29,Enterprise,Events,London,True,,164607.46
C0264,George Green,2023-08-02,Consumer,Events,London,True,,3821.47
C0265,Grace Taylor,2021-11-13,Consumer,Online,London,False,2022-02-08,1290.01
C0266,Benjamin Miller,2021-01-20,SMB,Direct,London,True,,46751.23
C0267,William Miller,2023-06-23,SMB,Direct,London,True,,39294.08
C0268,Amelia Wilson,2021-11-29,Consumer,Online,London,True,,3494.89
C0269,Alexander Johnson,2022-01-01,SMB,Online,London,True,,17283.27
C0270,Amelia Thomas,2021-08-17,Consumer,Online,Scotland,True,,1255.49
C0271,Brown Ltd,2022-08-19,Enterprise,Online,Scotland,True,,57222.12
C0272,Matthew Allen,2021-08-25,SMB,Direct,London,True,,19023.31
C0273,Isabella Wright,2021-12-26,Consumer,Direct,London,True,,837.51
C0274,Johnson Group,2021-12-15,Public Sector,Referral,Scotland,True,,69731.35
C0275,Harry Robinson,2022-07-21,SMB,Online,Scotland,True,,31986.51
C0276,Davis Solutions,2022-11-18,Enterprise,Direct,London,True,,145728.6
C0277,Harry Miller,2022-06-27,SMB,Direct,Scotland,True,,24840.82
C0278,King Group,2021-09-28,Enterprise,Direct,London,True,,62856.1
C0279,Grace Allen,2021-11-01,SMB,Events,London,True,,44675.76
C0280,Walker Solutions,2021-10-17,Public Sector,Online,London,True,,44433.82
C0281,Young Solutions,2022-02-26,Enterprise,Events,Scotland,True,,175116.22
C0282,Lee Ltd,2022-03-30,Public Sector,Events,London,True,,124386.08
C0283,Lucy Brown,2021-05-20,SMB,Referral,London,False,2022-04-07,32507.35
C0284,Miller Corp,2021-09-25,Public Sector,Partner,Scotland,True,,78356.88
C0285,Thomas Adams,2023-08-29,Consumer,Referral,London,True,,2175.98
C0286,Matthew Baker,2023-03-14,Consumer,Referral,Scotland,True,,1943.91
C0287,Jessica Miller,2022-05-05,Consumer,Direct,London,True,,795.28
C0288,Henry Anderson,2023-03-25,SMB,Partner,London,True,,24734.08
C0289,Lily Robinson,2021-10-29,SMB,Events,Scotland,True,,32053.35
C0290,Mia Young,2021-03-12,Consumer,Referral,Scotland,False,2023-02-07,1513.0
C0291,Samuel Anderson,2022-01-07,SMB,Direct,Scotland,True,,26952.27
C0292,Daniel Allen,2022-08-27,SMB,Referral,London,True,,48659.42
C0293,George Hall,2022-10-03,Consumer,Online,London,True,,1745.98
C0294,Green Partners,2023-02-15,Public Sector,Online,London,True,,109263.64
C0295,Benjamin Robinson,2021-12-04,Consumer,Online,Scotland,True,,4172.07
C0296,Isabella Baker,2022-05-08,Consumer,Online,Scotland,True,,3459.27
C0297,Joseph Thomas,2021-11-14,SMB,Online,Scotland,True,,36177.39
C0298,Samuel Robinson,2022-12-31,SMB,Partner,London,True,,33212.52
C0299,William Jones,2022-08-22,SMB,Direct,London,True,,49693.91
C0300,Thomas Solutions,2021-12-15,Public Sector,Partner,Scotland,True,,67609.69
C0301,William Walker,2021-12-04,SMB,Direct,Scotland,True,,27348.46
C0302,James Allen,2021-11-28,SMB,Online,London,True,,10164.95
C0303,Emma Taylor,2021-08-24,SMB,Partner,London,True,,47938.54
C0304,Lucy Nelson,2022-03-04,SMB,Online,London,False,2022-11-18,42480.33
C0305,Emma Jackson,2022-07-15,Consumer,Direct,Scotland,True,,4444.45
C0306,Olivia Lee,2023-07-19,SMB,Direct,Scotland,True,,25210.15
C0307,Thomas Walker,2022-03-16,SMB,Direct,Scotland,False,2022-07-31,34225.37
C0308,David Clark,2022-08-10,SMB,Online,London,True,,48924.79
C0309,Lily Jones,2022-11-08,SMB,Direct,London,True,,47977.84
C0310,Hall Ltd,2023-05-02,Enterprise,Online,Scotland,True,,177837.3
C0311,Joseph Lee,2022-09-29,Consumer,Referral,London,True,,4797.9
C0312,Benjamin Hall,2021-07-17,Consumer,Referral,London,True,,2652.1
C0313,Walker Partners,2022-07-11,Public Sector,Direct,London,True,,123499.72
C0314,Young Holdings,2022-04-04,Public Sector,Partner,Scotland,True,,31483.23
C0315,Benjamin King,2021-05-13,SMB,Online,Scotland,True,,34729.56
C0316,Chloe Johnson,2021-12-13,Consumer,Online,Scotland,True,,552.4
C0317,Thomas Johnson,2021-10-21,SMB,Online,London,True,,30277.17
C0318,George Brown,2022-11-15,SMB,Partner,London,True,,49226.83
C0319,Young Corp,2021-11-15,Enterprise,Referral,London,True,,183516.63
C0320,Benjamin Allen,2022-06-20,Consumer,Online,London,True,,2134.83
C0321,Moore Group,2021-08-10,Enterprise,Online,London,True,,56866.72
C0322,Jackson Services,2021-10-27,Enterprise,Online,Scotland,True,,118556.9
C0323,Daniel Jones,2022-06-02,Consumer,Direct,London,False,2022-08-20,4837.35
C0324,Chloe Adams,2022-03-31,Consumer,Referral,London,True,,1948.3
C0325,Jessica Jones,2021-12-16,SMB,Online,Scotland,True,,15527.2
C0326,Davis Services,2021-12-16,Public Sector,Online,Scotland,True,,55165.52
C0327,Samuel Thomas,2023-01-25,Consumer,Events,London,True,,3696.59
C0328,Emma Davis,2022-09-29,Consumer,Online,Scotland,True,,1701.4
C0329,Moore International,2021-08-11,Public Sector,Online,London,True,,42297.6
C0330,Charlotte King,2021-11-26,Consumer,Partner,Scotland,True,,3490.22
C0331,Chloe Hall,2023-03-28,SMB,Events,Scotland,True,,41237.0
C0332,Matthew Wright,2022-05-25,Consumer,Events,Scotland,True,,4839.3
C0333,Lewis Corp,2021-10-05,Enterprise,Online,London,True,,69509.98
C0334,Lucy Young,2021-10-10,SMB,Referral,Scotland,True,,34624.35
C0335,Oliver Green,2023-02-18,SMB,Online,London,True,,30205.61
C0336,Matthew Walker,2021-11-12,SMB,Direct,London,True,,31219.96
C0337,Emily Adams,2022-05-02,Consumer,Events,London,True,,1944.22
C0338,Green International,2021-06-29,Public Sector,Referral,London,True,,88416.57
C0339,Samuel Williams,2021-04-15,Consumer,Referral,London,True,,1448.52
C0340,Olivia Young,2021-05-03,SMB,Online,Scotland,False,2023-05-05,42670.17
C0341,Anderson Partners,2022-09-05,Enterprise,Online,London,True,,108204.89
C0342,Alexander Johnson,2022-02-07,SMB,Direct,Scotland,False,2023-08-05,38035.28
C0343,Allen Ltd,2021-06-25,Enterprise,Partner,London,True,,121098.15
C0344,Nelson Holdings,2022-11-12,Enterprise,Referral,Scotland,False,2023-09-22,193608.75
C0345,Wright Holdings,2022-10-20,Enterprise,Direct,London,True,,81760.54
C0346,Robinson Ltd,2023-01-22,Public Sector,Direct,London,True,,132166.53
C0347,Harris Holdings,2022-07-21,Public Sector,Online,London,True,,72856.6
C0348,Benjamin Robinson,2021-11-11,SMB,Referral,London,True,,16095.8
C0349,Thomas Baker,2021-08-29,Consumer,Events,London,True,,2117.69
C0350,Oliver Baker,2023-05-01,SMB,Online,London,True,,21224.64
C0351,Young Ltd,2021-10-11,Public Sector,Direct,Scotland,True,,127517.09
C0352,William Moore,2021-10-05,Consumer,Direct,London,True,,2266.24
C0353,Mia Hall,2022-05-21,Consumer,Partner,London,True,,4838.0
C0354,William Wright,2021-07-22,Consumer,Partner,London,True,,3794.02
C0355,Green Holdings,2021-08-21,Enterprise,Partner,London,True,,108213.97
C0356,Wright Corp,2021-05-23,Public Sector,Direct,Scotland,True,,99435.77
C0357,David Hall,2022-02-24,SMB,Referral,London,True,,23801.29
C0358,Jones Solutions,2022-01-30,Public Sector,Direct,Scotland,True,,48882.88
C0359,Alexander Miller,2021-09-22,Consumer,Online,London,True,,3412.67
